"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-01",,,"0.00","0.0","0.0","28","30","21"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-02",,,"0.00","0.0","0.0","25","35","17"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-03",,,"0.00","0.0","0.0","29","41","19"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-04",,,"0.00","0.0","0.0","35","43","19"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-05",,,"0.00","0.0","0.0","22","30","15"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-06",,,"0.00","0.0","0.0","25","30","21"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-07",,,"0.98","12.8","3.9","21","23","19"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-08",,,"0.00","0.0","11.0","23","33","12"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-09",,,"0.59","0.0","9.1","19","38","7"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-10",,,"2.10","0.0","2.0","43","52","38"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-11",,,"0.00","0.0","0.0","39","42","30"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-12",,,"0.00","0.0","0.0","35","44","25"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-13",,,"2.43","0.0","0.0","40","50","37"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-14",,,"0.00","0.1","0.0","36","39","26"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-01-15",,,"0.00","0.0","0.0","26","31","19"
